index,City,AccentCity,Population,Latitude,Longitude,CountryLong,Latitude(average),Longitude(average)
10206,morroa,Morroa,4949.0,9.333479,-75.305423,colombia,4.0,-72.0
10207,anapoima,Anapoima,4953.0,4.520278,-74.53944399999999,colombia,4.0,-72.0
10208,tamalameque,Tamalameque,4972.0,8.852212,-73.812289,colombia,4.0,-72.0
10209,caceres,Cáceres,4987.0,7.580779,-75.348422,colombia,4.0,-72.0
10210,san vicente,San Vicente,5021.0,6.232778,-75.336111,colombia,4.0,-72.0
10211,guamal,Guamal,5026.0,3.880427,-73.765659,colombia,4.0,-72.0
10212,puerto rico,Puerto Rico,5029.0,2.938333,-73.208333,colombia,4.0,-72.0
10213,ramiriqui,Ramiriquí,5039.0,5.400205000000001,-73.335437,colombia,4.0,-72.0
10214,buenavista,Buenavista,5062.0,9.049634,-76.002799,colombia,4.0,-72.0
10215,filadelfia,Filadelfia,5064.0,5.29606,-75.56119699999999,colombia,4.0,-72.0
10216,puerto lleras,Puerto Lleras,5076.0,3.022247,-73.404402,colombia,4.0,-72.0
10217,leiva,Leiva,5103.0,5.645,-73.56666700000001,colombia,4.0,-72.0
10218,pesca,Pesca,5113.0,5.55,-73.05,colombia,4.0,-72.0
10219,lejanias,Lejanías,5157.0,3.525104,-74.021561,colombia,4.0,-72.0
10220,paez,Páez,5179.0,2.654722,-75.992778,colombia,4.0,-72.0
10221,san antonio,San Antonio,5185.0,3.653056,-75.632778,colombia,4.0,-72.0
10222,isnos,Isnos,5185.0,1.928741,-76.211036,colombia,4.0,-72.0
10223,betulia,Betulia,5216.0,6.112836,-75.983784,colombia,4.0,-72.0
10224,altos del rosario,Altos del Rosario,5220.0,8.794444,-74.16583299999999,colombia,4.0,-72.0
10225,falan,Falan,5234.0,5.115636,-74.94894000000001,colombia,4.0,-72.0
10226,arbelaez,Arbeláez,5252.0,4.272543,-74.415128,colombia,4.0,-72.0
10227,cocorna,Cocorná,5257.0,6.057299,-75.185241,colombia,4.0,-72.0
10228,el molino,El Molino,5265.0,10.652246,-72.92404599999999,colombia,4.0,-72.0
10229,el carmen,El Carmen,5286.0,8.510637,-73.447755,colombia,4.0,-72.0
10230,pueblorrico,Pueblorrico,5327.0,5.791756,-75.841012,colombia,4.0,-72.0
10231,el playon,El Playón,5334.0,7.471313,-73.20310400000001,colombia,4.0,-72.0
10232,guayabal,Guayabal,5340.0,5.031034,-74.886825,colombia,4.0,-72.0
10233,la pintada,La Pintada,5342.0,5.748673,-75.606261,colombia,4.0,-72.0
10234,arenal,Arenal,5346.0,8.459278,-73.943309,colombia,4.0,-72.0
10235,monitos,Moñitos,5385.0,8.25,-76.05,colombia,4.0,-72.0
10236,guatape,Guatapé,5389.0,6.232741000000001,-75.158638,colombia,4.0,-72.0
10237,pijino,Pijiño,5390.0,9.329079,-74.45302,colombia,4.0,-72.0
10238,fomeque,Fómeque,5390.0,4.487967,-73.897488,colombia,4.0,-72.0
10239,belen,Belén,5411.0,5.988921,-72.912544,colombia,4.0,-72.0
10240,risaralda,Risaralda,5421.0,5.16647,-75.76595400000001,colombia,4.0,-72.0
10241,venecia,Venecia,5462.0,5.962778,-75.738056,colombia,4.0,-72.0
10242,nemocon,Nemocón,5467.0,5.05,-73.883333,colombia,4.0,-72.0
10243,san pedro,San Pedro,5473.0,3.992185,-76.239261,colombia,4.0,-72.0
10244,el rosal,El Rosal,5552.0,4.853142,-74.259955,colombia,4.0,-72.0
10245,san roque,San Roque,5576.0,6.485112,-75.019605,colombia,4.0,-72.0
10246,anolaima,Anolaima,5585.0,4.765904,-74.465477,colombia,4.0,-72.0
10247,montecristo,Montecristo,5608.0,8.297102,-74.473298,colombia,4.0,-72.0
10248,gonzalez,González,5634.0,8.389441999999999,-73.37989300000001,colombia,4.0,-72.0
10249,san pelayo,San Pelayo,5637.0,8.958328,-75.836272,colombia,4.0,-72.0
10250,carmen de apicala,Carmen de Apicalá,5640.0,4.147252,-74.720141,colombia,4.0,-72.0
10251,granada,Granada,5661.0,6.1435260000000005,-75.185323,colombia,4.0,-72.0
10252,pijao,Pijao,5668.0,4.334189,-75.703479,colombia,4.0,-72.0
10253,la vega,La Vega,5706.0,4.968915,-74.609452,colombia,4.0,-72.0
10254,aquitania,Aquitania,5718.0,5.519722,-72.8875,colombia,4.0,-72.0
10255,yaguara,Yaguará,5724.0,2.663548,-75.51753199999999,colombia,4.0,-72.0
10256,charala,Charalá,5727.0,5.836474,-73.281049,colombia,4.0,-72.0
10257,puente nacional,Puente Nacional,5775.0,5.877395,-73.6781,colombia,4.0,-72.0
10258,viota,Viotá,5840.0,4.437129,-74.521573,colombia,4.0,-72.0
10259,ancuya,Ancuya,5852.0,1.2703,-77.515749,colombia,4.0,-72.0
10260,villapinzon,Villapinzón,5874.0,5.216171,-73.5949,colombia,4.0,-72.0
10261,trujillo,Trujillo,5874.0,4.212168,-76.31945400000001,colombia,4.0,-72.0
10262,toledo,Toledo,5911.0,7.309844,-72.482949,colombia,4.0,-72.0
10263,mitu,Mitú,5917.0,1.198333,-70.173333,colombia,4.0,-72.0
10264,puerto gaitan,Puerto Gaitán,5928.0,4.3132790000000005,-72.08157,colombia,4.0,-72.0
10265,barranco de loba,Barranco de Loba,5933.0,8.945973,-74.10647,colombia,4.0,-72.0
10266,norcasia,Norcasia,5976.0,5.577815,-74.88520600000001,colombia,4.0,-72.0
10267,canasgordas,Cañasgordas,6026.0,6.749891000000001,-76.02539300000001,colombia,4.0,-72.0
10268,tocancipa,Tocancipá,6027.0,4.965313,-73.913013,colombia,4.0,-72.0
10269,yolombo,Yolombó,6033.0,6.5984110000000005,-75.011402,colombia,4.0,-72.0
10270,zapatoca,Zapatoca,6052.0,6.815319000000001,-73.267684,colombia,4.0,-72.0
10271,santa catalina,Santa Catalina,6084.0,10.603607,-75.288235,colombia,4.0,-72.0
10272,ginebra,Ginebra,6088.0,3.724614,-76.266749,colombia,4.0,-72.0
10273,pizarro,Pizarro,6105.0,2.101944,-78.72166700000001,colombia,4.0,-72.0
10274,rio de oro,Río de Oro,6122.0,8.291901,-73.384853,colombia,4.0,-72.0
10275,salamina,Salamina,6166.0,10.490274,-74.79463,colombia,4.0,-72.0
10276,bajo baudo,Bajo Baudó,6168.0,4.953336,-77.365975,colombia,4.0,-72.0
10277,rioblanco,Rioblanco,6210.0,3.5308330000000003,-75.68055600000001,colombia,4.0,-72.0
10278,talaigua,Talaigua,6217.0,9.303472,-74.56477,colombia,4.0,-72.0
10279,pinillos,Pinillos,6218.0,8.919248,-74.467711,colombia,4.0,-72.0
10280,marquetalia,Marquetalia,6224.0,5.296591,-75.054962,colombia,4.0,-72.0
10281,mistrato,Mistrató,6263.0,5.297301999999999,-75.883217,colombia,4.0,-72.0
10282,timbiqui,Timbiquí,6267.0,2.771697,-77.665359,colombia,4.0,-72.0
10283,balboa,Balboa,6272.0,2.039556,-77.21683900000001,colombia,4.0,-72.0
10284,guaitarilla,Guaitarilla,6280.0,1.138554,-77.55300600000001,colombia,4.0,-72.0
10285,pueblo bello,Pueblo Bello,6295.0,10.417065,-73.580404,colombia,4.0,-72.0
10286,el tambo,El Tambo,6355.0,2.451994,-76.810288,colombia,4.0,-72.0
10287,albania,Albania,6365.0,11.160987,-72.592385,colombia,4.0,-72.0
10288,el paso,El Paso,6367.0,9.660567,-73.747231,colombia,4.0,-72.0
10289,belalcazar,Belalcázar,6367.0,4.995278,-75.81277800000001,colombia,4.0,-72.0
10290,tamesis,Támesis,6407.0,5.6646220000000005,-75.713389,colombia,4.0,-72.0
